campaign.resource_name,campaign.name,campaign.id,call_view.resource_name,call_view.call_duration_seconds,call_view.start_call_date_time,call_view.end_call_date_time,call_view.call_tracking_display_location,call_view.type_,call_view.call_status
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/6638210495354946709,44,2026-04-07 15:39:29,2026-04-07 15:40:13,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/4666638559987092797,12,2026-04-07 14:05:52,2026-04-07 14:06:04,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/16579367206855190619,568,2026-04-07 12:42:30,2026-04-07 12:51:58,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/8164043452083712395,433,2026-04-06 12:32:13,2026-04-06 12:39:26,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/16505467698604903226,539,2026-04-06 11:04:14,2026-04-06 11:13:13,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/16523838897345735209,12,2026-04-05 10:02:07,2026-04-05 10:02:19,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/12514164980896039454,18,2026-04-03 14:08:20,2026-04-03 14:08:38,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/11008120526557855356,22,2026-04-03 11:56:37,2026-04-03 11:56:59,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/10929365291318241441,61,2026-04-02 15:57:29,2026-04-02 15:58:30,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/11640672786887923279,63,2026-04-02 15:29:22,2026-04-02 15:30:25,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/3448970136365201508,112,2026-04-02 15:12:42,2026-04-02 15:14:34,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/13289387620100296151,115,2026-04-01 16:48:43,2026-04-01 16:50:38,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/12829414214767216606,62,2026-03-30 16:23:17,2026-03-30 16:24:19,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/10816968742475236383,445,2026-03-30 16:09:20,2026-03-30 16:16:45,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/7070255796013749293,73,2026-03-30 15:45:57,2026-03-30 15:47:10,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/7343989356668296369,527,2026-03-30 15:26:46,2026-03-30 15:35:33,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/15663164994568333795,282,2026-03-30 14:19:31,2026-03-30 14:24:13,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/9321457333644468488,60,2026-03-28 08:30:24,2026-03-28 08:31:24,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/5655501154703322544,25,2026-03-26 17:51:50,2026-03-26 17:52:15,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/13605186406320597094,,2026-03-26 08:24:35,2026-03-26 08:24:35,2,3,2
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/725973168593105630,4,2026-03-26 08:24:18,2026-03-26 08:24:22,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/17600114424688416091,,2026-03-25 08:28:21,2026-03-25 08:28:21,2,3,2
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/12000403063428743483,79,2026-03-24 16:47:59,2026-03-24 16:49:18,2,3,3
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,customers/3123559470/callViews/5443022841663439161,56,2026-03-19 12:01:06,2026-03-19 12:02:02,2,3,3
