campaign.resource_name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign.name,campaign.id,metrics.clicks,metrics.conversions_value,metrics.conversions,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.impressions,segments.date
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,9,0.0,0.0,33990522,0.05454545454545454,3776724.6666666665,165,2026-03-25
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,18,2.0,2.0,33331815,0.04568527918781726,1851767.5,394,2026-04-06
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,32,0.0,0.0,32316871,0.029878618113912233,1009902.21875,1071,2026-03-18
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,31,0.0,0.0,30558321,0.027604630454140695,985752.2903225806,1123,2026-03-17
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,10,0.0,0.0,29820847,0.031746031746031744,2982084.7,315,2026-04-05
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,7,1.0,1.0,29268111,0.0219435736677116,4181158.714285714,319,2026-03-28
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,19,5.0,5.0,26289465,0.024203821656050957,1383656.0526315789,785,2026-03-30
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,18,0.0,0.0,23186089,0.03896103896103896,1288116.0555555555,462,2026-03-26
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,18,3.0,3.0,19069641,0.02674591381872214,1059424.5,673,2026-04-02
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,4,0.0,0.0,18342664,0.04878048780487805,4585666.0,82,2026-03-23
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,15,0.0,0.0,18286436,0.08064516129032258,1219095.7333333334,186,2026-04-03
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,16,0.0,0.0,16361283,0.029411764705882353,1022580.1875,544,2026-03-20
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,21,0.0,0.0,16148589,0.022175290390707498,768980.4285714285,947,2026-03-19
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,24,1.0,1.0,15909141,0.031413612565445025,662880.875,764,2026-04-01
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,57,0.0,0.0,15328119,0.06900726392251816,268914.36842105264,826,2026-03-22
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,14,0.0,0.0,14485241,0.02385008517887564,1034660.0714285715,587,2026-03-29
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,18,1.0,1.0,13761783,0.05084745762711865,764543.5,354,2026-04-07
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,16,0.0,0.0,10095361,0.036036036036036036,630960.0625,444,2026-03-16
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,26,0.0,0.0,8562997,0.04377104377104377,329346.03846153844,594,2026-03-31
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,15,0.0,0.0,5677546,0.02027027027027027,378503.06666666665,740,2026-04-04
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,16,0.0,0.0,5146539,0.04336043360433604,321658.6875,369,2026-03-21
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,13,0.0,0.0,4298778,0.023255813953488372,330675.23076923075,559,2026-03-27
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,15,0.0,0.0,2739375,0.030303030303030304,182625.0,495,2026-04-08
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,8,1.0,1.0,1206547,0.06153846153846154,150818.375,130,2026-03-24
customers/3123559470/campaigns/23652899436,2,10,10,Event Venue Orlando,23652899436,0,0.0,0.0,0,0.0,,10,2026-03-15
