campaign.resource_name,campaign.name,campaign.id,metrics.clicks,metrics.conversions_value,metrics.conversions,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.impressions,segments.date,geographic_view.resource_name,geographic_view.location_type,geographic_view.country_criterion_id
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,9,0.0,0.0,33986855,0.07317073170731707,3776317.222222222,123,2026-03-25,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,30,0.0,0.0,30332661,0.03184713375796178,1011088.7,942,2026-03-18,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5,1.0,1.0,26561297,0.018867924528301886,5312259.4,265,2026-03-28,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,18,0.0,0.0,23167306,0.047872340425531915,1287072.5555555555,376,2026-03-26,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,13,4.0,4.0,19616242,0.02073365231259968,1508941.6923076923,627,2026-03-30,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5,0.0,0.0,18469054,0.08064516129032258,3693810.8,62,2026-04-05,customers/3123559470/geographicViews/2840~LOCATION_OF_PRESENCE,3,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,4,0.0,0.0,18342664,0.06349206349206349,4585666.0,63,2026-03-23,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,16,3.0,3.0,17850007,0.02952029520295203,1115625.4375,542,2026-04-02,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,18,0.0,0.0,17313281,0.02538787023977433,961848.9444444445,709,2026-03-17,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,10,1.0,1.0,17131644,0.030864197530864196,1713164.4,324,2026-04-06,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,8,1.0,1.0,16200171,0.11428571428571428,2025021.375,70,2026-04-06,customers/3123559470/geographicViews/2840~LOCATION_OF_PRESENCE,3,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,14,0.0,0.0,15286436,0.09271523178807947,1091888.2857142857,151,2026-04-03,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,18,1.0,1.0,14374980,0.02926829268292683,798610.0,615,2026-04-01,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,13,0.0,0.0,13245040,0.03140096618357488,1018849.2307692308,414,2026-03-17,customers/3123559470/geographicViews/2840~LOCATION_OF_PRESENCE,3,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,15,1.0,1.0,13232880,0.060240963855421686,882192.0,249,2026-04-07,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,12,0.0,0.0,12242604,0.025477707006369428,1020217.0,471,2026-03-29,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5,0.0,0.0,11351793,0.019762845849802372,2270358.6,253,2026-04-05,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,12,0.0,0.0,10484250,0.02553191489361702,873687.5,470,2026-03-20,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,36,0.0,0.0,10241960,0.08888888888888889,284498.8888888889,405,2026-03-22,customers/3123559470/geographicViews/2840~LOCATION_OF_PRESENCE,3,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,15,0.0,0.0,9870550,0.03968253968253968,658036.6666666666,378,2026-03-16,customers/3123559470/geographicViews/2840~AREA_OF_INTEREST,2,2840
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,6,0.0,0.0,8354557,0.037267080745341616,1392426.1666666667,161,2026-03-19,customers/3123559470/geographicViews/2840~LOCATION_OF_PRESENCE,3,2840
