campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,cpc,cpm,publisher_platform,platform_position,date_start,date_stop
DR SPRING 2,New Traffic Ad Set,DR SPRING,0,4,1,0,0,,0,audience_network,an_classic,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0,3,1,0,0,,0,audience_network,rewarded_video,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.01,1,1,0,0,,10,facebook,facebook_notification,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.2,10,9,0,0,,20,facebook,facebook_reels,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.16,6,6,0,0,,26.666667,facebook,facebook_stories,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,3.24,95,53,1,1.052632,3.24,34.105263,facebook,feed,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.27,6,5,0,0,,45,facebook,instream_video,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.01,2,2,0,0,,5,facebook,marketplace,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,90.18,556,185,7,1.258993,12.882857,162.194245,instagram,feed,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,5.21,140,68,1,0.714286,5.21,37.214286,instagram,instagram_reels,2026-02-28,2026-03-29
DR SPRING 2,New Traffic Ad Set,DR SPRING,11.01,330,154,2,0.606061,5.505,33.363636,instagram,instagram_stories,2026-02-28,2026-03-29
