source_query,position,result_type,title,description,displayed_url,url,host,rejection_reason
Orlando FL academy elementary school,1,organic,Top Private Elementary School in Orlando,Experience The First Academy's elementary school in-person or virtually! See Why We're Central Florida's #1 Private Christian SchoolRead more,https://thefirstacademy.org › Academics › Lower School,https://thefirstacademy.org/academics/lower/elementary/,thefirstacademy.org,
Orlando FL academy elementary school,2,organic,Orlando Gifted Academy - Home,"I am extremely proud of the dedication and effort of our Staffulty, families, and, most importantly, our students in making OGA an amazing place to learn.Read more",https://orlandogiftedacademy.ocps.net,https://orlandogiftedacademy.ocps.net/,orlandogiftedacademy.ocps.net,
Orlando FL academy elementary school,3,organic,"Pluris Academy | Orlando, FL Private K-12 School","Pluris Academy is a K-12 private school in Orlando, FL that offers a comprehensive curriculum that fosters critical thinking, problem-solving, ...",https://plurisacademy.com,https://plurisacademy.com/,plurisacademy.com,
Orlando FL academy elementary school,4,organic,Pinecrest Preparatory Academy Orlando Campus,"Pinecrest Preparatory Academy is an accredited K-8 Tuition-Free High Performing Public Charter School in Orlando, FL. We empower lifelong learners!",https://www.pinecrestorlando.org,https://www.pinecrestorlando.org/,pinecrestorlando.org,
Orlando FL academy elementary school,5,organic,"The First Academy: Top PK-12 Private School in Orlando, FL","Discover a premier private Christian school in Orlando, FL, serving families since 1987, top-rated with 100% college acceptance rate for graduates.",https://thefirstacademy.org,https://thefirstacademy.org/,thefirstacademy.org,
Orlando FL academy elementary school,6,organic,"The Crenshaw Academy | Private K-12 Orlando, FL","The Crenshaw Academy is an accredited Kindergarten through 12 college preparatory school where bright, curious young boys and girls aim for a bar set high in ...Read more",https://thecrenshawacademy.com,https://thecrenshawacademy.com/,thecrenshawacademy.com,
Orlando FL academy elementary school,7,organic,Homepage - Aspire Charter AcademyAspire Charter Academy,Tuition Free Public Charter School. Call Today to Register for school! 407-297-9955 · Learn with us. Aspire Charter Academy is considered a Model Orange County ...Read more,https://aspirecharteracademy.com,https://aspirecharteracademy.com/,aspirecharteracademy.com,
Orlando FL academy elementary school,8,organic,"Elementary School in Orlando, FL","Explore exceptional K-5 education at First Phase Core Academy, an elementary school in Orlando with small classes and a diverse curriculum.",https://coreflacademy.org › elementary-school-in-orlando,https://coreflacademy.org/elementary-school-in-orlando/,coreflacademy.org,
Orlando FL academy elementary school,9,organic,Orlando Science Elementary School - Seminole ...,"Seminole Science Charter School, K-8 tuition free public charter school. STEM. Science, technology, math, engineering.",https://orlandoscience.org › elementary,https://orlandoscience.org/elementary/,orlandoscience.org,
Orlando FL academy elementary school,10,organic,"Center Academy Waterford Lakes, Florida - East Orlando","1331 South Alafaya Trail, Orlando, FL 32828 Phone: 407-270-4444 Fax: 407-286-0548 infoWL@centeracademy.com Enrolling for the Current School YearRead more",https://centeracademy.com › locations › waterford-lakes...,https://centeracademy.com/locations/waterford-lakes-florida-east-orlando/,centeracademy.com,
Orange County FL private school elementary,3,organic,Orange County Public Schools - Private Schools,"Orange Center Elementary · Orlo Vista Elementary · Palm Lake Elementary · Palmetto ... The School Board of Orange County, Florida, does not discriminate in ...Read more",https://www.ocps.net › private-schools,https://www.ocps.net/private-schools,ocps.net,
Orange County FL private school elementary,4,organic,"Best Private Elementary School Orange County, FL","Crenshaw Academy, The Best Private Elementary School In Orange County, Florida. Crenshaw Academy is an accredited kindergarten through 12 college preparatory ...Read more",https://thecrenshawacademy.com › best-private-elementa...,https://thecrenshawacademy.com/best-private-elementary-school-orange-county-fl,thecrenshawacademy.com,
Orange County FL private school elementary,5,organic,Private Schools in Orange County,"Premier listings for all of Orange County. Featuring a listing by city of featured Orange County Preschools, Private Schools & Higher Education.Read more",https://www.orangecounty.net › html › edu_private2,https://www.orangecounty.net/html/edu_private2.html,orangecounty.net,
Orange County FL private school elementary,6,organic,Florida Private Schools Directory - School Choice,"Information contained in this database was submitted by private schools as part of the annual survey requirement found in section 1002.42, Florida Statutes.Read more",https://www.floridaschoolchoice.org › information › pri...,https://www.floridaschoolchoice.org/information/privateschooldirectory/,floridaschoolchoice.org,
Orange County FL private school elementary,7,organic,Waldorf School Orange County | Creative and Innovative ...,"WSOC is a dual-accredited private school nestled beside acres of parkland in Costa Mesa, Orange County, California, educating ages 18 months through 18 years.Read more",https://www.waldorfschool.com,https://www.waldorfschool.com/,waldorfschool.com,
Orange County FL private school elementary,9,organic,Foundation Academy | Top Christian Private School in Winter ...,"As a leading private christian school in Winter Garden, Foundation Academy is rooted in Christian principles, and helps students from Pre-K to 12th grade ...",https://www.foundationacademy.net,https://www.foundationacademy.net/,foundationacademy.net,
Orange County FL christian school elementary,3,organic,"Orlando Christian Prep - Orlando, FL",Orlando Christian Prep offers a college-preparatory curriculum. This includes variety of honors courses and Advanced Placement (AP) cours.Read more,https://www.orlandochristianprep.org,https://www.orlandochristianprep.org/,orlandochristianprep.org,
Orange County FL christian school elementary,4,organic,Orlando's Only K4–12 Christian Classical School,"A school that wants to know your child, teach them how to think and discover the world using a biblical worldview and time-tested classical tools for learning.Read more",https://www.genevaschool.org,https://www.genevaschool.org/,genevaschool.org,
Orange County FL christian school elementary,5,organic,Trinity Christian School,"Founded with a mission to uphold the highest standards of academic excellence, TCS is equally dedicated to fostering spiritual growth in every student.Read more",https://www.tcsapopka.org,https://www.tcsapopka.org/,tcsapopka.org,
Orange County FL christian school elementary,7,organic,Central Florida Christian Academy: Homepage,"An accredited, PreK-12th grade private Christian school in Orlando, Florida that exists to educate, inspire, and equip students for life.",https://cfcaeagles.org,https://cfcaeagles.org/,cfcaeagles.org,
Orange County FL christian school elementary,9,organic,Cornerstone Charter Academy,"Cornerstone Charter Academy is a K-12 Accredited Tuition-Free Public Charter School in Belle Isle, FL. Learn more about our STEM programming. Apply now!",https://www.cornerstonecharter.com,https://www.cornerstonecharter.com/,cornerstonecharter.com,
Orange County FL charter school elementary,1,organic,Current List of Charter Schools,"Current List of Charter Schools ; Orlando Science Elementary Charter. (STEM Focus). K-5. 2611 Technology Dr. Orlando, FL 32804. 407-299-6595 ; Orlando Science ...Read more",https://www.ocps.net › current-list-of-charter-schools,https://www.ocps.net/current-list-of-charter-schools,ocps.net,
Orange County FL charter school elementary,3,organic,Charter Schools Home,"Schools are tuition-free public schools which operate under a performance contract or ""charter"" agreement between a governing board and the local public school ...Read more",https://www.ocps.net › charter-schools-home,https://www.ocps.net/charter-schools-home,ocps.net,
Orange County FL charter school elementary,5,organic,Orlando Science Schools: OSS Main Campus,"Orlando Science School is a STEM-focused, tuition-free, public charter school serving grades K-12. Orlando Science School was named the best public high school ...Read more",https://orlandoscience.org,https://orlandoscience.org/,orlandoscience.org,
Orange County FL charter school elementary,7,organic,West Orange,UCP Bailes Community Academy Charter School is our new Kindergarten through 8th grade Charter School. Our Bailes Community Academy utilizes technology ...,https://www.ucpcharter.org › westorange,https://www.ucpcharter.org/westorange,ucpcharter.org,
Orange County FL charter school elementary,8,organic,Princeton House Charter School,PHCS became a charter school in 1998 and is devoted to serving children with Autism in grades PK-5th. Our children represent the full spectrum of Autism.Read more,https://www.princeton-house.org,https://www.princeton-house.org/,princeton-house.org,
Orange County FL charter school elementary,10,organic,Orlando: Charter Schools,"Mater Narcoossee is a K-12 Tuition-Free Public Charter School in Orange County, Florida. ... charter elementary school owned and operated by ...Read more",https://fun4orlandokids.com › Education-Childcare › Ch...,https://fun4orlandokids.com/Education-Childcare/Charter-Schools/,fun4orlandokids.com,
