school_name,url,host,source_query,title,batch_id,confidence_reason,notes
American Heritage Schools: #1 Private K-12 School in Florida,https://www.ahschool.com/,ahschool.com,Orange County FL private K-8 school,American Heritage Schools: #1 Private K-12 School in Florida,batch_01,school_keyword_in_domain:school,
Aspire Charter Academy,https://aspirecharteracademy.com/,aspirecharteracademy.com,Orlando FL academy elementary school,Homepage - Aspire Charter AcademyAspire Charter Academy,batch_01,school_keyword_in_domain:academy,
Audubon Park School,https://audubonparkk8.ocps.net/,audubonparkk8.ocps.net,Orange County FL K-8 school,Audubon Park School - Home - Orange County Public Schools,batch_01,official_ocps_school_subdomain,
Best Private School In Orlando,https://www.trinityprep.org/,trinityprep.org,Orange County FL private school elementary,Best Private School In Orlando | Orlando Preparatory School,batch_01,school_keyword_in_domain:prep,
Bridge Prep Academy Orange Campus,https://www.bridgepreporange.com/,bridgepreporange.com,Orange County FL preparatory school elementary,Bridge Prep Academy Orange Campus,batch_01,school_keyword_in_domain:prep,
Bridgeprep Academy Charter Schools,https://www.bridgeprepacademy.com/,bridgeprepacademy.com,Orange County FL preparatory school elementary,Bridgeprep Academy Charter Schools,batch_01,school_keyword_in_domain:academy,
Camen Academy,https://www.camenacademy.com/,camenacademy.com,Orange County FL academy elementary school,"Behavior-Based Education | Arts-Based Learning | Orlando, FL",batch_01,school_keyword_in_domain:academy,
Center Academy,https://centeracademy.com/,centeracademy.com,Orange County FL private school elementary,Center Academy | Special Education Schools in Florida,batch_01,school_keyword_in_domain:academy,
Central Florida Christian Academy: Homepage,https://cfcaeagles.org/,cfcaeagles.org,Orange County FL christian school elementary,Central Florida Christian Academy: Homepage,batch_01,"title_school+fl_signal:""christian school"" + ""orlando""",
Central Florida Leadership Academy,https://www.cflacademy.org/,cflacademy.org,Orlando FL academy elementary school,Charter School | Central Florida Leadership Academy | Orlando,batch_01,school_keyword_in_domain:academy,
Central Florida Preparatory School,https://cfprep.org/,cfprep.org,Orange County FL preparatory school elementary,Central Florida Preparatory School | Private PreK-12 Orlando,batch_01,school_keyword_in_domain:prep,
Circle Christian Schools: Home,https://circlechristianschool.org/,circlechristianschool.org,Orange County FL christian school elementary,Circle Christian Schools: Home,batch_01,school_keyword_in_domain:school,
Cornerstone Charter Academy,https://www.cornerstonecharter.com/,cornerstonecharter.com,Orange County FL christian school elementary,Cornerstone Charter Academy,batch_01,school_keyword_in_domain:charter,
Eastland Christian School,https://www.eastlandchristian.org/,eastlandchristian.org,Orange County FL christian school elementary,Eastland Christian School,batch_01,school_keyword_in_domain:christian,
"Elementary School in Orlando, FL",https://coreflacademy.org/elementary-school-in-orlando/,coreflacademy.org,Orlando FL academy elementary school,"Elementary School in Orlando, FL",batch_01,school_keyword_in_domain:academy,
Faith Christian Academy,https://fcalions.org/,fcalions.org,Orange County FL christian school elementary,Faith Christian Academy | Orlando – A Ministry of Faith ...,batch_01,"title_school+fl_signal:""academy"" + ""orlando""",
Family Christian Academy: www.fcaorlando.com Private ...,https://www.fcaorlando.com/,fcaorlando.com,Orange County FL christian school elementary,Family Christian Academy: www.fcaorlando.com Private ...,batch_01,"title_school+fl_signal:""academy"" + ""orlando""",
Foundation Academy,https://www.foundationacademy.net/,foundationacademy.net,Orange County FL private school elementary,Foundation Academy | Top Christian Private School in Winter ...,batch_01,school_keyword_in_domain:academy,
Heritage Prep School,https://heritageprep.com/,heritageprep.com,Orange County FL christian school elementary,Heritage Prep School,batch_01,school_keyword_in_domain:prep,
Hillcrest Elementary,https://hillcrestes.ocps.net/,hillcrestes.ocps.net,Orlando FL lower school,Hillcrest Elementary - Home - Orange County Public Schools,batch_01,official_ocps_school_subdomain,
Hope Charter School,https://www.hopecharter.org/,hopecharter.org,Orange County FL charter school elementary,Hope Charter School,batch_01,school_keyword_in_domain:charter,
Innovation Montessori Ocoee,https://www.innovationmontessori.com/,innovationmontessori.com,Orange County FL montessori elementary,"Innovation Montessori Ocoee | Montessori School | Ocoee, FL",batch_01,school_keyword_in_domain:montessori,
Jewish Academy of Orlando,https://www.jewishacademyorlando.org/,jewishacademyorlando.org,Orlando FL academy elementary school,Jewish Academy of Orlando,batch_01,school_keyword_in_domain:academy,
Keystone Academy,http://www.keystone-academy.com/lower-school,keystone-academy.com,Orange County FL lower school,LOWER SCHOOL - Keystone Academy,batch_01,school_keyword_in_domain:academy,
Lake Forrest Prep,https://www.lakeforrestprep.com/admissions/,lakeforrestprep.com,Orange County FL preparatory school elementary,Admissions | Orlando Private School,batch_01,school_keyword_in_domain:prep,
Lake Highland Preparatory School,https://www.lhprep.org/,lhprep.org,Orange County FL preparatory school elementary,Top Rated Private School | Lake Highland Prep,batch_02,school_keyword_in_domain:prep,
Living Word Academy,https://lwaorlando.com/,lwaorlando.com,Orlando FL academy elementary school,"Living Word Academy – Orlando, FL",batch_02,"title_school+fl_signal:""christian school"" + ""orlando""",
Lovell Elementary,https://lovelles.ocps.net/,lovelles.ocps.net,Orange County FL preparatory school elementary,Lovell Elementary - Home - Orange County Public Schools,batch_02,official_ocps_school_subdomain,
Maitland Montessori: Montessori School Website,https://maitlandmontessori.org/,maitlandmontessori.org,Orange County FL montessori elementary,Maitland Montessori: Montessori School Website,batch_02,school_keyword_in_domain:montessori,
Montessori Academy,https://montessori-academy.org/academics/elementary-school/,montessori-academy.org,Orange County FL montessori elementary,Elementary School,batch_02,school_keyword_in_domain:academy,
Montessori FL,https://www.montessorifl.com/,montessorifl.com,Orange County FL montessori elementary,montessorifl.com,batch_02,school_keyword_in_domain:montessori,
Montessori School of East Orlando,https://www.mseastorlando.com/,mseastorlando.com,Orange County FL montessori elementary,Private School | Montessori School of East Orlando | United ...,batch_02,"title_school+fl_signal:""private school"" + ""orlando""",
Montessori School of Orlando,https://montessorischooloforlando.com/,montessorischooloforlando.com,Orange County FL montessori elementary,Montessori School of Orlando,batch_02,school_keyword_in_domain:school,
Montessori Way School: Home,https://montessoriwayschool.com/,montessoriwayschool.com,Orange County FL montessori elementary,Montessori Way School: Home,batch_02,school_keyword_in_domain:school,
Montessori World School,https://montessoriworldschool.com/,montessoriworldschool.com,Orange County FL montessori elementary,Montessori World School - Preschool & Child Care Center ...,batch_02,school_keyword_in_domain:school,
Nona Park Montessori School,https://nonaparkmontessorischool.com/,nonaparkmontessorischool.com,Orange County FL montessori elementary,Nona Park Montessori School,batch_02,school_keyword_in_domain:school,
Oak Ridge School,https://www.oakridgeschool.org/,oakridgeschool.org,Orange County FL private school elementary,Voted Best Single-campus private school in 2024 by ...,batch_02,school_keyword_in_domain:school,
OCPS Academic Center For Excellence,https://ocpsace.ocps.net/,ocpsace.ocps.net,Orlando FL academy elementary school,OCPS Academic Center For Excellence - Home,batch_02,official_ocps_school_subdomain,
Olympus Academy,https://www.olympuscharterschool.org/,olympuscharterschool.org,Orange County FL academy elementary school,Olympus Academy,batch_02,school_keyword_in_domain:school,
One of the Best Montessori Schools in Orange County ...,https://www.hillsidemontessori.org/,hillsidemontessori.org,Orange County FL montessori elementary,One of the Best Montessori Schools in Orange County ...,batch_02,school_keyword_in_domain:montessori,
One School,https://www.oneschool.net/,oneschool.net,Orange County FL christian school elementary,One School | Central Florida Private School | Future Focused,batch_02,school_keyword_in_domain:school,
Orange County Classical Academy A Hillsdale College ...,https://orangecountyclassicalacademy.org/,orangecountyclassicalacademy.org,Orange County FL charter school elementary,Orange County Classical Academy A Hillsdale College ...,batch_02,school_keyword_in_domain:academy,
Orangewood Christian School: Home,https://www.orangewoodchristian.org/,orangewoodchristian.org,Orange County FL lower school,Orangewood Christian School: Home,batch_02,school_keyword_in_domain:christian,
Orlando Christian Prep,https://www.orlandochristianprep.org/,orlandochristianprep.org,Orange County FL christian school elementary,"Orlando Christian Prep - Orlando, FL",batch_02,school_keyword_in_domain:prep,
Orlando Gifted Academy,https://orlandogiftedacademy.ocps.net/,orlandogiftedacademy.ocps.net,Orlando FL academy elementary school,Orlando Gifted Academy - Home,batch_02,official_ocps_school_subdomain,
Orlando Montessori Bilingual Academy,https://www.orlandomontessori.com/,orlandomontessori.com,Orange County FL montessori elementary,"Orlando Montessori Bilingual Academy | Orlando, FL",batch_02,school_keyword_in_domain:montessori,
Orlando Science Charter School East Campus,https://east.orlandoscience.org/,east.orlandoscience.org,Orange County FL charter school elementary,Orlando Science Charter School East Campus - Home,batch_02,"title_school+fl_signal:""charter school"" + ""orlando""",
Orlando Science Schools: OSS Main Campus,https://orlandoscience.org/,orlandoscience.org,Orange County FL charter school elementary,Orlando Science Schools: OSS Main Campus,batch_02,"title_school+fl_signal:""charter school"" + ""orlando""",
Orlando's Only K4–12 Christian Classical School,https://www.genevaschool.org/,genevaschool.org,Orange County FL christian school elementary,Orlando's Only K4–12 Christian Classical School,batch_02,school_keyword_in_domain:school,
Pine Castle Christian Academy,https://www.pinecastleeagles.org/,pinecastleeagles.org,Orlando FL academy elementary school,Pine Castle Christian Academy | K-12 | 7101 Lake Ellenor ...,batch_02,"title_school+fl_signal:""christian school"" + ""central florida""",
Pinecrest Creek Academy,https://www.pinecrestcreekacademy.org/,pinecrestcreekacademy.org,Orange County FL K-8 school,Pinecrest Creek Academy,batch_03,school_keyword_in_domain:academy,
Pinecrest Preparatory Academy Orlando Campus,https://www.pinecrestorlando.org/,pinecrestorlando.org,Orlando FL academy elementary school,Pinecrest Preparatory Academy Orlando Campus,batch_03,"title_school+fl_signal:""charter school"" + ""orlando""",
Pluris Academy,https://plurisacademy.com/,plurisacademy.com,Orlando FL academy elementary school,"Pluris Academy | Orlando, FL Private K-12 School",batch_03,school_keyword_in_domain:academy,
Royal Palm Montessori Academy,https://www.rpmontessori.com/,rpmontessori.com,Orange County FL montessori elementary,Royal Palm Montessori Academy | toddler preschool | 12532 ...,batch_03,school_keyword_in_domain:montessori,
Saints Academy Private School,https://thesaintsacademy.com/index.html,thesaintsacademy.com,Orlando FL academy elementary school,Saints Academy Private School - Orlando,batch_03,school_keyword_in_domain:academy,
Smith Preparatory Academy,https://www.smithprep.com/,smithprep.com,Orange County FL preparatory school elementary,Smith Preparatory Academy | Christian Classical Education ...,batch_03,school_keyword_in_domain:prep,
South Orlando Christian Academy,https://sochristianacademy.com/contact-us/,sochristianacademy.com,Orange County FL christian school elementary,Contact Us,batch_03,school_keyword_in_domain:academy,
Spirit Academy,https://www.spiritacademy.org/,spiritacademy.org,Orange County FL christian school elementary,Home | Spirit Academy | Hybrid Christian School,batch_03,school_keyword_in_domain:academy,
Sunrise Academy: Private School,https://www.sunriseacademy.education/,sunriseacademy.education,Orange County FL private K-8 school,Sunrise Academy: Private School | Florida,batch_03,school_keyword_in_domain:academy,
The Christ School,https://www.thechristschool.org/,thechristschool.org,Orlando FL lower school,Premier Private Christian School in Downtown Orlando,batch_03,school_keyword_in_domain:school,
The Conrad Academy & Preschool,https://www.conradacademy.org/,conradacademy.org,Orlando FL academy elementary school,The Conrad Academy & Preschool,batch_03,school_keyword_in_domain:academy,
The Crenshaw Academy,https://thecrenshawacademy.com/,thecrenshawacademy.com,Orlando FL academy elementary school,"The Crenshaw Academy | Private K-12 Orlando, FL",batch_03,school_keyword_in_domain:academy,
"The First Academy: Top PK-12 Private School in Orlando, FL",https://thefirstacademy.org/,thefirstacademy.org,Orlando FL academy elementary school,"The First Academy: Top PK-12 Private School in Orlando, FL",batch_03,school_keyword_in_domain:academy,
The Master's Academy: Home,https://www.mastersacademy.org/,mastersacademy.org,Orange County FL christian school elementary,The Master's Academy: Home,batch_03,school_keyword_in_domain:academy,
The Montessori Academy of Celebration,https://www.montessoriacademycelebration.com/,montessoriacademycelebration.com,Orange County FL montessori elementary,The Montessori Academy of Celebration | Discover Montessori ...,batch_03,school_keyword_in_domain:academy,
The Pegasus School,https://www.thepegasusschool.org/,thepegasusschool.org,Orange County FL private school elementary,The Pegasus School: Home,batch_03,school_keyword_in_domain:school,
The Walden Community School Orlando,https://www.thewaldenschoolorlando.com/,thewaldenschoolorlando.com,Orange County FL lower school,The Walden Community School Orlando | Discover Creative ...,batch_03,school_keyword_in_domain:school,
Turtle River Montessori,https://turtlerivermontessori.com/,turtlerivermontessori.com,Orange County FL montessori elementary,Home - Turtleriver Montessori,batch_03,school_keyword_in_domain:montessori,
UCP CHARTER SCHOOLS,https://www.ucpcharter.org/,ucpcharter.org,Orlando FL academy elementary school,UCP CHARTER SCHOOLS | Charter School in Orlando | 4780 ...,batch_03,school_keyword_in_domain:charter,
