school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,notes
Aloma Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://alomaes.ocps.net,,aloma_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Andover Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://andoveres.ocps.net,,andover_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://apopkaes.ocps.net,,apopka_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Atwater Bay Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://atwaterbayes.ocps.net,,atwaterbay_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Avalon Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://avalones.ocps.net,,avalon_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://azaleaparkes.ocps.net,,azaleapark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Baldwin Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baldwinparkes.ocps.net,,baldwinpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baylakees.ocps.net,,baylake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Meadows Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baymeadowses.ocps.net,,baymeadows_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://bonnevillees.ocps.net,,bonneville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Brookshire Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://brookshirees.ocps.net,,brookshire_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Camelot Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://camelotes.ocps.net,,camelot_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castle Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castlecreekes.ocps.net,,castlecreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castleview Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castleviewes.ocps.net,,castleview_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Catalina Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://catalinaes.ocps.net,,catalina_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Cheney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://cheneyes.ocps.net,,cheney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Chickasaw Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://chickasawes.ocps.net,,chickasaw_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Citrus Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://citruses.ocps.net,,citrus_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
