school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,notes
Stone Lakes Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://stonelakeses.ocps.net,,stonelakes_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Stonewyck Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://stonewyckes.ocps.net,,stonewyck_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Summerlake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://summerlakees.ocps.net,,summerlake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sun Blaze Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunblazees.ocps.net,,sunblaze_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
SunRidge Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunridgees.ocps.net,,sunridge_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunrise Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunrisees.ocps.net,,sunrise_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunset Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunsetparkes.ocps.net,,sunsetpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Sunshine Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://sunshinees.ocps.net,,sunshine_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Tangelo Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://tangeloparkes.ocps.net,,tangelopark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Thornebrooke Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://thornebrookees.ocps.net,,thornebrooke_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
