school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,white_pct,schooldigger_url,business_fit,business_fit_reason,notes
Aloma Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://alomaes.ocps.net,,aloma_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,509,21.8,https://www.schooldigger.com/go/FL/schools/0144001446/school.aspx,REJECTED,White is not highest racial group (Hispanic at 50.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Andover Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://andoveres.ocps.net,,andover_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,629,23.5,https://www.schooldigger.com/go/FL/schools/0144005641/school.aspx,REJECTED,White is not highest racial group (Hispanic at 51.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://apopkaes.ocps.net,,apopka_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,847,19.2,https://www.schooldigger.com/go/FL/schools/0144001438/school.aspx,REJECTED,White is not highest racial group (Hispanic at 38.0%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Atwater Bay Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://atwaterbayes.ocps.net,,atwaterbay_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,748,31.6,https://www.schooldigger.com/go/FL/schools/0144009030/school.aspx,REJECTED,White is not highest racial group (Hispanic at 54.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Avalon Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://avalones.ocps.net,,avalon_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,553,44.1,https://www.schooldigger.com/go/FL/schools/0144003744/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.1%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://azaleaparkes.ocps.net,,azaleapark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,470,23.8,https://www.schooldigger.com/go/FL/schools/0144001398/school.aspx,REJECTED,White is not highest racial group (Hispanic at 64.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Baldwin Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baldwinparkes.ocps.net,,baldwinpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,732,44.8,https://www.schooldigger.com/go/FL/schools/0144001391/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.8%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baylakees.ocps.net,,baylake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,680,34.0,https://www.schooldigger.com/go/FL/schools/0144008457/school.aspx,REJECTED,White is not highest racial group (Hispanic at 46.5%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Meadows Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baymeadowses.ocps.net,,baymeadows_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,764,45.2,https://www.schooldigger.com/go/FL/schools/0144002781/school.aspx,GOOD_MATCH,White is not highest racial group (White at 45.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://bonnevillees.ocps.net,,bonneville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,375,21.6,https://www.schooldigger.com/go/FL/schools/0144001422/school.aspx,REJECTED,White is not highest racial group (Hispanic at 65.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Brookshire Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://brookshirees.ocps.net,,brookshire_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,608,40.8,https://www.schooldigger.com/go/FL/schools/0144001412/school.aspx,GOOD_MATCH,White is not highest racial group (White at 40.8%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Camelot Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://camelotes.ocps.net,,camelot_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,545,28.6,https://www.schooldigger.com/go/FL/schools/0144003743/school.aspx,REJECTED,White is not highest racial group (Hispanic at 47.3%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castle Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castlecreekes.ocps.net,,castlecreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,555,16.6,https://www.schooldigger.com/go/FL/schools/0144005022/school.aspx,REJECTED,White is not highest racial group (Hispanic at 58.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castleview Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castleviewes.ocps.net,,castleview_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,693,32.9,https://www.schooldigger.com/go/FL/schools/0144008610/school.aspx,REJECTED,White is not highest racial group (Hispanic at 53.5%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Catalina Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://catalinaes.ocps.net,,catalina_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,588,3.1,https://www.schooldigger.com/go/FL/schools/0144001407/school.aspx,REJECTED,White is not highest racial group (African American at 65.6%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
