school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Aloma Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://alomaes.ocps.net,,aloma_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,509,50.1,https://www.schooldigger.com/go/FL/schools/0144001446/school.aspx,REJECTED,lunch=50.1%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Andover Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://andoveres.ocps.net,,andover_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,629,38.8,https://www.schooldigger.com/go/FL/schools/0144005641/school.aspx,GOOD_MATCH,students=629>=200; lunch=38.8%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://apopkaes.ocps.net,,apopka_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,847,49.5,https://www.schooldigger.com/go/FL/schools/0144001438/school.aspx,REJECTED,lunch=49.5%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Atwater Bay Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://atwaterbayes.ocps.net,,atwaterbay_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,748,13.9,https://www.schooldigger.com/go/FL/schools/0144009030/school.aspx,GOOD_MATCH,students=748>=200; lunch=13.9%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Avalon Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://avalones.ocps.net,,avalon_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,553,19.2,https://www.schooldigger.com/go/FL/schools/0144003744/school.aspx,GOOD_MATCH,students=553>=200; lunch=19.2%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://azaleaparkes.ocps.net,,azaleapark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,470,70.0,https://www.schooldigger.com/go/FL/schools/0144001398/school.aspx,REJECTED,lunch=70.0%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Baldwin Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baldwinparkes.ocps.net,,baldwinpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,732,26.5,https://www.schooldigger.com/go/FL/schools/0144001391/school.aspx,GOOD_MATCH,students=732>=200; lunch=26.5%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baylakees.ocps.net,,baylake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,680,20.3,https://www.schooldigger.com/go/FL/schools/0144008457/school.aspx,GOOD_MATCH,students=680>=200; lunch=20.3%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Meadows Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baymeadowses.ocps.net,,baymeadows_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,764,20.2,https://www.schooldigger.com/go/FL/schools/0144002781/school.aspx,GOOD_MATCH,students=764>=200; lunch=20.2%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://bonnevillees.ocps.net,,bonneville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,375,62.4,https://www.schooldigger.com/go/FL/schools/0144001422/school.aspx,REJECTED,lunch=62.4%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Brookshire Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://brookshirees.ocps.net,,brookshire_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,608,33.1,https://www.schooldigger.com/go/FL/schools/0144001412/school.aspx,GOOD_MATCH,students=608>=200; lunch=33.1%<=45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
