school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,white_pct,schooldigger_url,business_fit,business_fit_reason,notes
Avalon Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://avalones.ocps.net,,avalon_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,553,44.1,https://www.schooldigger.com/go/FL/schools/0144003744/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.1%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Baldwin Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baldwinparkes.ocps.net,,baldwinpark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,732,44.8,https://www.schooldigger.com/go/FL/schools/0144001391/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.8%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Meadows Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baymeadowses.ocps.net,,baymeadows_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,764,45.2,https://www.schooldigger.com/go/FL/schools/0144002781/school.aspx,GOOD_MATCH,White is not highest racial group (White at 45.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Brookshire Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://brookshirees.ocps.net,,brookshire_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,608,40.8,https://www.schooldigger.com/go/FL/schools/0144001412/school.aspx,GOOD_MATCH,White is not highest racial group (White at 40.8%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Columbia Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://columbiaes.ocps.net,,columbia_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,489,45.4,https://www.schooldigger.com/go/FL/schools/0144001451/school.aspx,GOOD_MATCH,White is not highest racial group (White at 45.4%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Deerwood Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://deerwoodes.ocps.net,,deerwood_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,472,61.2,https://www.schooldigger.com/go/FL/schools/0144002475/school.aspx,GOOD_MATCH,White is not highest racial group (White at 61.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dommerich Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://dommeriches.ocps.net,,,,,Orange,K-5,YES,YES,YES,VALID,611,70.2,https://www.schooldigger.com/go/FL/schools/0144001432/school.aspx,GOOD_MATCH,White is not highest racial group (White at 70.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dr. Phillips Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://drphillipses.ocps.net,,drphillips_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,638,48.3,https://www.schooldigger.com/go/FL/schools/0144002220/school.aspx,GOOD_MATCH,White is not highest racial group (White at 48.3%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hamlin Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hamlines.ocps.net,,hamlin_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,549,47.9,https://www.schooldigger.com/go/FL/schools/0144008845/school.aspx,GOOD_MATCH,White is not highest racial group (White at 47.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Hillcrest Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://hillcrestes.ocps.net,,hillcrest_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,489,49.9,https://www.schooldigger.com/go/FL/schools/0144001370/school.aspx,GOOD_MATCH,White is not highest racial group (White at 49.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Independence Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://independencees.ocps.net,,independence_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,889,44.2,https://www.schooldigger.com/go/FL/schools/0144008330/school.aspx,GOOD_MATCH,White is not highest racial group (White at 44.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Keene's Crossing Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://keenescrossinges.ocps.net,,keenescrossing_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,954,50.1,https://www.schooldigger.com/go/FL/schools/0144007567/school.aspx,GOOD_MATCH,White is not highest racial group (White at 50.1%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
