school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,white_pct,schooldigger_url,business_fit,business_fit_reason,notes
Aloma Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://alomaes.ocps.net,,aloma_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,509,21.8,https://www.schooldigger.com/go/FL/schools/0144001446/school.aspx,REJECTED,White is not highest racial group (Hispanic at 50.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Andover Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://andoveres.ocps.net,,andover_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,629,23.5,https://www.schooldigger.com/go/FL/schools/0144005641/school.aspx,REJECTED,White is not highest racial group (Hispanic at 51.2%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://apopkaes.ocps.net,,apopka_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,847,19.2,https://www.schooldigger.com/go/FL/schools/0144001438/school.aspx,REJECTED,White is not highest racial group (Hispanic at 38.0%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Atwater Bay Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://atwaterbayes.ocps.net,,atwaterbay_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,748,31.6,https://www.schooldigger.com/go/FL/schools/0144009030/school.aspx,REJECTED,White is not highest racial group (Hispanic at 54.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://azaleaparkes.ocps.net,,azaleapark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,470,23.8,https://www.schooldigger.com/go/FL/schools/0144001398/school.aspx,REJECTED,White is not highest racial group (Hispanic at 64.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Lake Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://baylakees.ocps.net,,baylake_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,680,34.0,https://www.schooldigger.com/go/FL/schools/0144008457/school.aspx,REJECTED,White is not highest racial group (Hispanic at 46.5%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://bonnevillees.ocps.net,,bonneville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,375,21.6,https://www.schooldigger.com/go/FL/schools/0144001422/school.aspx,REJECTED,White is not highest racial group (Hispanic at 65.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Camelot Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://camelotes.ocps.net,,camelot_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,545,28.6,https://www.schooldigger.com/go/FL/schools/0144003743/school.aspx,REJECTED,White is not highest racial group (Hispanic at 47.3%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castle Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castlecreekes.ocps.net,,castlecreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,555,16.6,https://www.schooldigger.com/go/FL/schools/0144005022/school.aspx,REJECTED,White is not highest racial group (Hispanic at 58.7%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castleview Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castleviewes.ocps.net,,castleview_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,693,32.9,https://www.schooldigger.com/go/FL/schools/0144008610/school.aspx,REJECTED,White is not highest racial group (Hispanic at 53.5%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Catalina Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://catalinaes.ocps.net,,catalina_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,588,3.1,https://www.schooldigger.com/go/FL/schools/0144001407/school.aspx,REJECTED,White is not highest racial group (African American at 65.6%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Cheney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://cheneyes.ocps.net,,cheney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,397,14.1,https://www.schooldigger.com/go/FL/schools/0144001408/school.aspx,REJECTED,White is not highest racial group (Hispanic at 63.5%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Chickasaw Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://chickasawes.ocps.net,,chickasaw_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,551,9.8,https://www.schooldigger.com/go/FL/schools/0144001418/school.aspx,REJECTED,White is not highest racial group (Hispanic at 77.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Citrus Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://citruses.ocps.net,,citrus_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,506,11.3,https://www.schooldigger.com/go/FL/schools/0144004397/school.aspx,REJECTED,White is not highest racial group (African American at 58.3%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Clay Springs Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://clayspringses.ocps.net,,claysprings_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,626,28.1,https://www.schooldigger.com/go/FL/schools/0144002857/school.aspx,REJECTED,White is not highest racial group (Hispanic at 52.9%),Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
