school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Aloma Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://alomaes.ocps.net,,aloma_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,509,50.1,https://www.schooldigger.com/go/FL/schools/0144001446/school.aspx,REJECTED,lunch=50.1%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://apopkaes.ocps.net,,apopka_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,847,49.5,https://www.schooldigger.com/go/FL/schools/0144001438/school.aspx,REJECTED,lunch=49.5%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://azaleaparkes.ocps.net,,azaleapark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,470,70.0,https://www.schooldigger.com/go/FL/schools/0144001398/school.aspx,REJECTED,lunch=70.0%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://bonnevillees.ocps.net,,bonneville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,375,62.4,https://www.schooldigger.com/go/FL/schools/0144001422/school.aspx,REJECTED,lunch=62.4%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castle Creek Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://castlecreekes.ocps.net,,castlecreek_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,555,55.5,https://www.schooldigger.com/go/FL/schools/0144005022/school.aspx,REJECTED,lunch=55.5%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Catalina Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://catalinaes.ocps.net,,catalina_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,588,69.9,https://www.schooldigger.com/go/FL/schools/0144001407/school.aspx,REJECTED,lunch=69.9%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Cheney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://cheneyes.ocps.net,,cheney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,397,67.8,https://www.schooldigger.com/go/FL/schools/0144001408/school.aspx,REJECTED,lunch=67.8%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Chickasaw Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://chickasawes.ocps.net,,chickasaw_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,551,68.1,https://www.schooldigger.com/go/FL/schools/0144001418/school.aspx,REJECTED,lunch=68.1%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Citrus Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://citruses.ocps.net,,citrus_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,506,55.5,https://www.schooldigger.com/go/FL/schools/0144004397/school.aspx,REJECTED,lunch=55.5%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Clay Springs Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://clayspringses.ocps.net,,claysprings_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,626,51.0,https://www.schooldigger.com/go/FL/schools/0144002857/school.aspx,REJECTED,lunch=51.0%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Conway Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://conwayes.ocps.net,,conway_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,426,63.4,https://www.schooldigger.com/go/FL/schools/0144001393/school.aspx,REJECTED,lunch=63.4%>45%,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
