school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,white_pct,schooldigger_url,business_fit,business_fit_reason,notes
Luminary Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://luminaryes.ocps.net,,luminary_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,,,,REVIEW,School not found in SchoolDigger Orange County database — may be too new,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Amazing Hope School Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(689) 248-1525,marilyn.amazinghopeacademy@gmail.com,"601 S HIGHLAND AVENUE, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: MARILYN P. CARD PHD. Source: FLDOE Private School Directory, Orange County."
Apopka Christian Academy- West Campus,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 949-7997,pastorjason@apopkachristian.org,"441 S. HIGHLAND AVE, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: JASON FLETCHER. Source: FLDOE Private School Directory, Orange County."
Apopka Innovation  Technology Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 703-8634,greenet@hlcmail.com,"515 N. PARK AVE 104, APOPKA, FL 32712",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: TYRONE GREENE. Source: FLDOE Private School Directory, Orange County."
Bethany Christian Academy Inc,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 271-4711,astimphil@bca-edu.org,"6229 WINEGARD RD., ORLANDO, FL 32809",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: ANTOINE STIMPHIL. Source: FLDOE Private School Directory, Orange County."
Brush Arbor Christian School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 671-9774,kpierce@brusharborbaptist.com,"2304 N GOLDENROD ROAD, ORLANDO, FL 32807",Orlando,Orange,PK-12,YES,YES,YES,VALID,208,,https://www.schooldigger.com/go/FL/schools/9999914063/school.aspx,REVIEW,Racial breakdown not reported (208 enrolled),"Director: KIMBERLY PIERCE. Source: FLDOE Private School Directory, Orange County."
Calvary Christian Academy And Preschool,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 792-5135,dvega@cccap.net,"2500 W. OAKRIDGE RD., ORLANDO, FL 32809",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: DENISE VEGA. Source: FLDOE Private School Directory, Orange County."
Central Florida Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 293-8062,headmaster@cfcaeagles.org,"700 GOOD HOMES RD, ORLANDO, FL 32818",Orlando,Orange,K-12,YES,YES,YES,VALID,518,,https://www.schooldigger.com/go/FL/schools/9999900057/school.aspx,REVIEW,Racial breakdown not reported (518 enrolled),"Director: MARC STOMPRUD. Source: FLDOE Private School Directory, Orange County."
Cid Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(321) 424-3068,coordinacion@cdiopendoors.com,"2649 CRESCENT LAKE CT WINDERM, ORLANDO, FL 34786",Orlando,Orange,PK-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: TATIANA BUSTAMANTE. Source: FLDOE Private School Directory, Orange County."
Circle Christian School Winter Garden,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 740-8877,gretchens@circlechristianschool.org,"16796 DAVENPORT ROAD, WINTER GARDEN, FL 34787",Winter Garden,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,Not found in SchoolDigger,"Director: GRETCHEN SIMMONDS. Source: FLDOE Private School Directory, Orange County."
