school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,students_count,free_discounted_lunch_pct,schooldigger_url,business_fit,business_fit_reason,notes
Luminary Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://luminaryes.ocps.net,,luminary_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Absolute Excellence Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 484-2035,vontricia@gmail.com,"1815 WEST WASHINGTON STREET, ORLANDO, FL 32805",Orlando,Orange,PK-12,YES,YES,YES,VALID,109,,https://www.schooldigger.com/go/FL/schools/9999977858/school.aspx,REVIEW,no_lunch_data_reported,"Director: VONTRICIA LEWIS. Source: FLDOE Private School Directory, Orange County."
Amazing Hope School Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(689) 248-1525,marilyn.amazinghopeacademy@gmail.com,"601 S HIGHLAND AVENUE, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: MARILYN P. CARD PHD. Source: FLDOE Private School Directory, Orange County."
Apopka Christian Academy- West Campus,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 949-7997,pastorjason@apopkachristian.org,"441 S. HIGHLAND AVE, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: JASON FLETCHER. Source: FLDOE Private School Directory, Orange County."
Apopka Christian Learning Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 410-0049,lapfleger@yahoo.com,"750 ROGER WILLIAMS RD., APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,201,,https://www.schooldigger.com/go/FL/schools/9999977879/school.aspx,REVIEW,no_lunch_data_reported,"Director: ANNE PFLEGER. Source: FLDOE Private School Directory, Orange County."
Apopka Innovation  Technology Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 703-8634,greenet@hlcmail.com,"515 N. PARK AVE 104, APOPKA, FL 32712",Apopka,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: TYRONE GREENE. Source: FLDOE Private School Directory, Orange County."
Avalon School Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 297-4353,rkavalon@aol.com,"5002 ANDRUS AVE., ORLANDO, FL 32804",Orlando,Orange,PK-12,YES,YES,YES,VALID,100,,https://www.schooldigger.com/go/FL/schools/9999948000/school.aspx,REVIEW,no_lunch_data_reported,"Director: ROBERT SHAFER. Source: FLDOE Private School Directory, Orange County."
Azalea Park Baptist School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 277-4056,principal@apbs.community,"5725 DAHLIA DRIVE, ORLANDO, FL 32807",Orlando,Orange,PK-12,YES,YES,YES,VALID,193,,https://www.schooldigger.com/go/FL/schools/9999913968/school.aspx,REVIEW,no_lunch_data_reported,"Director: ALEXA ORTEGA. Source: FLDOE Private School Directory, Orange County."
Bethany Christian Academy Inc,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 271-4711,astimphil@bca-edu.org,"6229 WINEGARD RD., ORLANDO, FL 32809",Orlando,Orange,K-12,YES,YES,YES,VALID,,,,REVIEW,no_schooldigger_url,"Director: ANTOINE STIMPHIL. Source: FLDOE Private School Directory, Orange County."
Brush Arbor Christian School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 671-9774,kpierce@brusharborbaptist.com,"2304 N GOLDENROD ROAD, ORLANDO, FL 32807",Orlando,Orange,PK-12,YES,YES,YES,VALID,208,,https://www.schooldigger.com/go/FL/schools/9999914063/school.aspx,REVIEW,no_lunch_data_reported,"Director: KIMBERLY PIERCE. Source: FLDOE Private School Directory, Orange County."
