school_name,school_type,address,city,county,phone,email,official_website,grades_raw,county_fit,grade_fit,school_type_fit,source_system,source_url,verification_status,notes
Aloma Elementary,public_elementary,,,Orange,,,https://alomaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Andover Elementary,public_elementary,,,Orange,,,https://andoveres.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Apopka Elementary,public_elementary,,,Orange,,,https://apopkaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Atwater Bay Elementary,public_elementary,,,Orange,,,https://atwaterbayes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Avalon Elementary,public_elementary,,,Orange,,,https://avalones.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Azalea Park Elementary,public_elementary,,,Orange,,,https://azaleaparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Baldwin Park Elementary,public_elementary,,,Orange,,,https://baldwinparkes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Lake Elementary,public_elementary,,,Orange,,,https://baylakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bay Meadows Elementary,public_elementary,,,Orange,,,https://baymeadowses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Bonneville Elementary,public_elementary,,,Orange,,,https://bonnevillees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Brookshire Elementary,public_elementary,,,Orange,,,https://brookshirees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Camelot Elementary,public_elementary,,,Orange,,,https://camelotes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castle Creek Elementary,public_elementary,,,Orange,,,https://castlecreekes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Castleview Elementary,public_elementary,,,Orange,,,https://castleviewes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Catalina Elementary,public_elementary,,,Orange,,,https://catalinaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Cheney Elementary,public_elementary,,,Orange,,,https://cheneyes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Chickasaw Elementary,public_elementary,,,Orange,,,https://chickasawes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Citrus Elementary,public_elementary,,,Orange,,,https://citruses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Clay Springs Elementary,public_elementary,,,Orange,,,https://clayspringses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Columbia Elementary,public_elementary,,,Orange,,,https://columbiaes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Conway Elementary,public_elementary,,,Orange,,,https://conwayes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Cypress Springs Elementary,public_elementary,,,Orange,,,https://cypressspringses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Deerwood Elementary,public_elementary,,,Orange,,,https://deerwoodes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dillard Street Elementary,public_elementary,,,Orange,,,https://dillardstreetes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dommerich Elementary,public_elementary,,,Orange,,,https://dommeriches.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dover Shores Elementary,public_elementary,,,Orange,,,https://dovershoreses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dr. Phillips Elementary,public_elementary,,,Orange,,,https://drphillipses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Dream Lake Elementary,public_elementary,,,Orange,,,https://dreamlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Eagle Creek Elementary,public_elementary,,,Orange,,,https://eaglecreekes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Eagle's Nest Elementary,public_elementary,,,Orange,,,https://eaglesnestes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
East Lake Elementary,public_elementary,,,Orange,,,https://eastlakees.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Eccleston Elementary,public_elementary,,,Orange,,,https://ecclestones.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Endeavor Elementary,public_elementary,,,Orange,,,https://endeavores.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Engelwood Elementary,public_elementary,,,Orange,,,https://engelwoodes.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Forsyth Woods Elementary,public_elementary,,,Orange,,,https://forsythwoodses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Frangus Elementary,public_elementary,,,Orange,,,https://franguses.ocps.net,K-5,yes,yes,yes,OCPS,https://www.ocps.net/schools/elementary-schools,confirmed,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
