school_name,school_type,address,city,county,phone,grades_raw,source_system,source_url,rejection_reason,status
1St Pavilion Kids Academy Inc,private,"12355 S JOHN YOUNG PARKWAY, ORLANDO, FL 34744",Orlando,Orange,(407) 722-5073,PK-PK,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-PK' does not include any grade in K-5 range,rejected
A To Z Academy Of Learningllc,private,"1213 N. PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,(407) 547-0925,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Academy 2000 Inc,private,"4801 BASSWOOD LN, ORLANDO, FL 32808",Orlando,Orange,(407) 291-1950,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Alpha Learning Academy Inc.,private,"1960 BRUTON BLVD., ORLANDO, FL 32805",Orlando,Orange,(407) 422-6941,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
American Nation Builders Coll.Prep. Academy,private,"5401 SOUTH KIRKMAN ROAD SUITE, ORLANDO, FL 32819",Orlando,Orange,(407) 591-1612,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
American School Of Leadership,private,"7380 W SAND LAKE RD, ORLANDO, FL 32819",Orlando,Orange,(407) 801-5140,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Anointed Word Faith Academy,private,"305 S. HIGHLAND AVENUE, APOPKA, FL 32703",Apopka,Orange,(407) 886-4989,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Appointed Learning Academy Inc,private,"325 OCOEE APOPKA RD, OCOEE, FL 34761",Ocoee,Orange,(352) 242-7318,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Assiduous Academy Inc,private,"2295 S HIAWASSEE RD, #205, ORLANDO, FL 32835",Orlando,Orange,(877) 327-4222,K-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-08' does not include any grade in K-5 range,rejected
Behavioral Multidisciplinary Center Corp,private,"5575 S SEMORAN BLVD SUITE 7, ORLANDO, FL 32822",Orlando,Orange,(321) 947-8923,PK-06,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-06' does not include any grade in K-5 range,rejected
Beryl Wisdom Adventist School,private,"4955 ROSE AVENUE, ORLANDO, FL 32808",Orlando,Orange,(407) 291-3073,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Best Memories Academy,private,"5135 CURRY FORD RD, ORLANDO, FL 32812",Orlando,Orange,(407) 380-2002,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Bishop Moore Catholic High School,private,"3901 EDGEWATER DRIVE, ORLANDO, FL 32804",Orlando,Orange,(407) 293-7561,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Bridges To Opportunity Academy,private,"535 W. WASHINGTON ST, ORLANDO, FL 32801",Orlando,Orange,(321) 387-1278,09-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '09-12' does not include any grade in K-5 range,rejected
Bright Learning - Cyber High School,private,"2042 NORTH FORSYTH ROAD, ORLANDO, FL 32807-0076",Orlando,Orange,(407) 853-5683,03-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '03-12' does not include any grade in K-5 range,rejected
Brighter Journeys Academy Llc,private,"7600 DR PHILLIPS SUITE  72, ORLANDO, FL 32819",Orlando,Orange,(407) 730-5969,K-07,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-07' does not include any grade in K-5 range,rejected
Brooke House Academy,private,"851 N. MAITLAND AVE., MAITLAND, FL 32751",Maitland,Orange,(407) 720-4235,06-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '06-12' does not include any grade in K-5 range,rejected
Center Academy - Waterford Lakes,private,"1331 S. ALAFAYA TRAIL, ORLANDO, FL 32828",Orlando,Orange,(407) 270-4444,04-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-12' does not include any grade in K-5 range,rejected
Center Academy Hunters Creek,private,"3430 HUNTERS CREEK BOULEVARD, ORLANDO, FL 32837",Orlando,Orange,(407) 286-1673,04-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-12' does not include any grade in K-5 range,rejected
Center Academy-Maitland,private,"341 N ORLANDO AVENUE, MAITLAND, FL 32751",Maitland,Orange,(407) 772-8727,04-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '04-12' does not include any grade in K-5 range,rejected
Clayhouse Academy,private,"3615 N. PINE HILLS ROAD, ORLANDO, FL 32808",Orlando,Orange,(407) 734-5219,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Colossus Private School,private,"800 N. PINE HILLS RD, ORLANDO, FL 32808",Orlando,Orange,(407) 985-4234,03-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '03-12' does not include any grade in K-5 range,rejected
Conway Christian Academy,private,"2719 CONWAY GARDENS ROAD, ORLANDO, FL 32806",Orlando,Orange,(407) 896-6510,K-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'K-05' does not include any grade in K-5 range,rejected
Cranium Academy,private,"4068 WINTER GARDEN VINELAND RD, WINTER GARDEN, FL 34787",Winter Garden,Orange,(407) 294-6950,PK-08,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-08' does not include any grade in K-5 range,rejected
Cranium Academy Of East Orlando,private,"10275 SAVANNAH PARK DR, ORLANDO, FL 32832",Orlando,Orange,(407) 255-2171,PK-05,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-05' does not include any grade in K-5 range,rejected
Creative Learners Academy Llc,private,"7604 ALOMA AVENUE, WINTER PARK, FL 32792",Winter Park,Orange,(407) 790-4040,PK-02,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range 'PK-02' does not include any grade in K-5 range,rejected
Crimson Global Academy Usa,private,"37N. ORANGE AVE. SUITE 500, ORLANDO, FL 32801",Orlando,Orange,(888) 504-4424,01-12,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,Grade range '01-12' does not include any grade in K-5 range,rejected
